train_no,train_name,zone,section,current_delay,preceding_train_headway,visibility_meters,junction_congestion,train_priority,dwell_deviation,target_delay_min
12002,Bhopal Shatabdi Express,NCR,NDLS-GZB,4.15,13.46,7905.6,0.578,1,1.63,2.75
12001,Bhopal Shatabdi Express,NCR,GZB-ALJN,1.23,24.26,8142.1,0.562,1,2.49,0.0
12049,Gatimaan Express,NCR,ALJN-TDL,4.48,18.68,8032.8,0.554,1,1.14,6.75
12050,Gatimaan Express,NCR,TDL-AGC,5.29,10.55,7919.3,0.504,1,0.69,7.66
20172,Rani Kamalapati Vande Bharat,NCR,AGC-DHO,0.07,28.73,4134.1,0.652,1,1.13,0.0
20171,Rani Kamalapati Vande Bharat,NCR,DHO-GWL,0.79,11.57,8164.9,0.347,1,1.93,0.0
12279,Taj Express,NCR,GWL-DBA,17.16,20.08,1705.8,0.208,2,1.14,25.82
12280,Taj Express,NCR,DBA-JHS,3.44,14.95,1202.9,0.3,2,2.6,11.01
12452,Shram Shakti Express,NCR,NDLS-CNB,19.54,7.34,1405.8,0.532,2,1.11,26.03
12451,Shram Shakti Express,NCR,CNB-ALD,23.66,1.24,7956.2,0.173,2,1.31,43.31
12417,Prayagraj Express,NCR,NDLS-GZB,8.78,24.9,7997.2,0.1,2,4.46,11.59
12418,Prayagraj Express,NCR,GZB-ALJN,1.88,17.64,445.2,0.706,2,0.54,22.53
12559,Shiv Ganga Express,NCR,ALJN-TDL,12.01,22.54,7851.4,0.137,2,2.55,16.51
12560,Shiv Ganga Express,NCR,TDL-AGC,2.3,24.49,7816.6,0.28,2,2.48,0.47
12137,Punjab Mail,NCR,AGC-DHO,9.72,19.01,8039.0,0.349,2,0.46,13.59
12138,Punjab Mail,NCR,DHO-GWL,12.33,3.86,8052.0,0.315,2,1.71,18.42
12615,Grand Trunk Express,NCR,GWL-DBA,14.13,23.17,7853.8,0.413,2,3.02,22.17
12616,Grand Trunk Express,NCR,DBA-JHS,1.18,13.5,8284.5,0.573,2,4.78,5.22
13007,Ashutosh Toofan Express,NCR,NDLS-CNB,8.14,7.64,3839.4,0.49,3,2.39,12.53
13008,Ashutosh Toofan Express,NCR,CNB-ALD,22.86,11.78,7772.8,0.495,3,1.78,29.04
04414,Delhi - Aligarh MEMU Passenger,NCR,NDLS-GZB,55.33,5.76,8053.7,0.643,3,3.16,66.83
04183,Tundla - Delhi MEMU Passenger,NCR,GZB-ALJN,24.22,32.05,8077.1,0.616,3,1.78,31.31
04159,Kanpur - Tundla MEMU Passenger,NCR,ALJN-TDL,4.95,13.77,7927.2,0.722,3,1.93,13.99
01888,Gwalior - Agra Cantt Passenger,NCR,TDL-AGC,1.63,18.76,1363.3,0.696,3,4.37,18.34
07091,Guntur - Delhi Passenger Special,SCoR,GNT-BZA,12.17,25.69,96.2,0.489,3,0.0,31.57
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-EE,6.31,6.89,8129.9,0.724,3,1.95,19.28
17239,Simhadri Daily Express,SCoR,BZA-KI,11.35,15.27,8190.0,0.284,2,3.75,10.46
17240,Simhadri Daily Express,SCoR,GNT-NLR,6.83,14.55,3984.2,0.287,2,2.9,8.77
17243,Guntur - Rayagada Express,SCoR,BZA-VSKP,12.9,6.54,7969.6,0.379,2,2.29,12.81
17244,Guntur - Rayagada Express,SCoR,BZA-WL,9.47,33.01,8316.7,0.537,2,0.79,14.41
12705,Guntur - Secunderabad Intercity Express,SCR,WL-SC,1.51,24.69,4054.3,0.624,2,0.83,0.5
12706,Guntur - Secunderabad Intercity Express,SCR,GNT-RGDA,17.98,12.59,216.9,0.223,2,3.07,33.64
12743,Vijayawada - Gudur Amaravati Express,SCoR,GNT-BZA,4.63,31.45,7959.3,0.26,2,2.21,4.26
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-EE,13.4,26.58,1017.9,0.257,2,1.13,22.29
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-KI,1.49,5.86,1076.7,0.498,1,1.74,4.51
12078,Vijayawada Jan Shatabdi Express,SCoR,GNT-NLR,1.06,34.55,8034.8,0.65,1,0.7,3.79
16031,Andaman Express,SCoR,BZA-VSKP,1.05,27.42,4128.6,0.4,3,1.49,7.63
16032,Andaman Express,SCoR,BZA-WL,16.45,20.83,275.9,0.213,3,1.58,35.03
17201,Golconda Express,SCR,WL-SC,59.48,3.51,4003.7,0.542,3,3.73,69.51
17202,Golconda Express,SCR,GNT-RGDA,0.56,10.55,427.5,0.249,3,1.31,13.95
17656,Kacheguda - Puducherry Express,SCR,GNT-BZA,5.23,20.84,8051.3,0.595,2,2.66,5.23
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-EE,32.39,30.45,8274.7,0.413,1,1.85,28.54
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-KI,5.75,33.98,1182.8,0.606,1,1.43,8.72
12002,Bhopal Shatabdi Express,NCR,TDL-AGC,17.58,33.12,1207.0,0.614,1,0.0,24.12
12001,Bhopal Shatabdi Express,NCR,AGC-DHO,13.37,22.02,8049.8,0.234,1,3.36,14.06
12049,Gatimaan Express,NCR,DHO-GWL,6.2,5.56,8024.9,0.322,1,2.77,2.99
12050,Gatimaan Express,NCR,GWL-DBA,5.98,15.87,430.0,0.1,1,0.0,17.29
20172,Rani Kamalapati Vande Bharat,NCR,DBA-JHS,3.58,16.61,519.5,0.1,1,1.94,10.47
20171,Rani Kamalapati Vande Bharat,NCR,NDLS-CNB,2.41,12.75,1508.3,0.405,1,0.55,0.0
12279,Taj Express,NCR,CNB-ALD,5.44,18.12,3971.3,0.232,2,1.37,8.75
12280,Taj Express,NCR,NDLS-GZB,19.69,26.44,7917.9,0.377,2,3.14,26.33
12452,Shram Shakti Express,NCR,GZB-ALJN,27.07,18.4,7851.8,0.52,2,0.59,26.71
12451,Shram Shakti Express,NCR,ALJN-TDL,0.24,11.95,7884.0,0.162,2,2.56,1.64
12417,Prayagraj Express,NCR,TDL-AGC,9.24,20.95,3999.5,0.216,2,2.61,19.65
12418,Prayagraj Express,NCR,AGC-DHO,5.28,34.54,3945.8,0.442,2,0.92,6.59
12559,Shiv Ganga Express,NCR,DHO-GWL,27.25,3.73,7918.2,0.441,2,0.81,38.27
12560,Shiv Ganga Express,NCR,GWL-DBA,2.25,23.73,706.5,0.734,2,2.18,21.89
12137,Punjab Mail,NCR,DBA-JHS,3.33,4.9,3588.9,0.774,2,0.72,15.24
12138,Punjab Mail,NCR,NDLS-CNB,4.92,5.57,7909.7,0.44,2,3.23,5.01
12615,Grand Trunk Express,NCR,CNB-ALD,31.83,29.24,245.1,0.55,2,1.6,47.98
12616,Grand Trunk Express,NCR,NDLS-GZB,10.25,29.62,7910.8,0.431,2,0.99,8.56
13007,Ashutosh Toofan Express,NCR,GZB-ALJN,25.17,14.34,1254.1,0.117,3,1.52,38.1
13008,Ashutosh Toofan Express,NCR,ALJN-TDL,3.17,31.59,8133.9,0.664,3,2.87,12.55
04414,Delhi - Aligarh MEMU Passenger,NCR,TDL-AGC,9.15,31.39,1387.1,0.431,3,1.59,17.89
04183,Tundla - Delhi MEMU Passenger,NCR,AGC-DHO,17.25,30.81,8193.0,0.22,3,0.39,22.8
04159,Kanpur - Tundla MEMU Passenger,NCR,DHO-GWL,3.48,12.75,8281.5,0.307,3,1.72,16.77
01888,Gwalior - Agra Cantt Passenger,NCR,GWL-DBA,11.34,1.62,1216.4,0.479,3,2.03,42.6
07091,Guntur - Delhi Passenger Special,SCoR,GNT-NLR,6.62,26.04,601.8,0.272,3,4.55,19.34
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-VSKP,6.11,2.86,7848.2,0.119,3,2.25,18.15
17239,Simhadri Daily Express,SCoR,BZA-WL,3.05,16.38,8250.4,0.614,2,2.8,1.85
17240,Simhadri Daily Express,SCoR,WL-SC,12.0,1.45,3959.7,0.185,2,1.69,26.0
17243,Guntur - Rayagada Express,SCoR,GNT-RGDA,2.83,31.53,7996.4,0.861,2,3.17,7.25
17244,Guntur - Rayagada Express,SCoR,GNT-BZA,6.97,14.63,3948.6,0.336,2,2.13,7.41
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-EE,0.31,6.31,4262.8,0.364,2,1.62,3.35
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-KI,2.36,23.19,7964.0,0.286,2,1.8,2.05
12743,Vijayawada - Gudur Amaravati Express,SCoR,GNT-NLR,27.2,1.44,7859.4,0.659,2,0.87,39.29
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-VSKP,3.6,13.91,4113.5,0.457,2,3.54,8.22
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-WL,19.3,15.46,7995.4,0.74,1,1.71,21.02
12078,Vijayawada Jan Shatabdi Express,SCoR,WL-SC,49.93,18.87,7755.6,0.345,1,2.07,49.61
16031,Andaman Express,SCoR,GNT-RGDA,13.12,6.96,635.6,0.183,3,2.12,26.57
16032,Andaman Express,SCoR,GNT-BZA,1.04,21.51,7771.4,0.378,3,2.76,12.75
17201,Golconda Express,SCR,BZA-EE,33.14,25.91,7954.3,0.264,3,2.88,36.74
17202,Golconda Express,SCR,BZA-KI,0.94,25.76,7906.0,0.596,3,2.14,9.68
